home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Argentina,Germany DR,1,1,54254,"Parkstadion, Gelsenkirchen",Second round,03-07-1974,1–1,Germany,1974,Joachim Streich · 14,['20&rsquor;|1:1|René Houseman'],['14&rsquor;|0:1|Joachim Streich'],,,,,,,,,,,,,,,['68&rsquor;|1:1|Ángel Bargas'],['23&rsquor;|1:1|Jürgen Sparwasser'],,"['65&rsquor;|1:1|Eberhard Vogel|for Wolfram Löwe', '80&rsquor;|1:1|Peter Ducke|for Joachim Streich']"
Sweden,Yugoslavia,2,1,41300,"Rheinstadion, Dï¿½Sseldorf",Second round,03-07-1974,2–1,Germany,1974,Ivica Šurjak · 27,"['29&rsquor;|1:1|Ralf Edström', '85&rsquor;|2:1|Conny Torstensson']",['27&rsquor;|0:1|Ivica Šurjak'],,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Stanislav Karasi', '1&rsquor;|0:0|Josip Katalinski']",,"['70&rsquor;|1:1|Stanislav Karasi|for Vladimir Petrović', '78&rsquor;|1:1|Luka Peruzović|for Miroslav Pavlović']"
Poland,Yugoslavia,2,1,58000,"Waldstadion, Frankfurt/Main",Second round,30-06-1974,2–1,Germany,1974,Stanislav Karasi · 43,['62&rsquor;|2:1|Grzegorz Lato'],['43&rsquor;|1:1|Stanislav Karasi'],,,Kazimierz Deyna (P) · 24,,,,,,,,,,,,,,"['57&rsquor;|1:1|Lesław Ćmikiewicz|for Andrzej Szarmach', '80&rsquor;|2:1|Jan Domarski|for Kazimierz Deyna']","['16&rsquor;|0:0|Jurica Jerković|for Branko Oblak', '81&rsquor;|2:1|Vladimir Petrović|for Ilija Petković']"
Argentina,Brazil,1,2,39400,"Niedersachsenstadion, Hanover",Second round,30-06-1974,1–2,Germany,1974,Rivellino · 32|Jairzinho · 49,['35&rsquor;|1:1|Miguel Ángel Brindisi'],"['32&rsquor;|0:1|Rivellino', '49&rsquor;|1:2|Jairzinho']",,,,,,,,,,,,,,,['72&rsquor;|1:2|René Houseman'],,"['46&rsquor;|1:1|René Houseman|for Mario Kempes', '46&rsquor;|1:1|Jorge Carrascosa|for Francisco Sá']",
Germany DR,Netherlands,0,2,68348,"Parkstadion, Gelsenkirchen",Second round,30-06-1974,0–2,Germany,1974,Johan Neeskens · 7|Rob Rensenbrink · 59,,"['7&rsquor;|0:1|Johan Neeskens', '59&rsquor;|0:2|Rob Rensenbrink']",,,,,,,,,,,,,,,,,"['54&rsquor;|0:1|Peter Ducke|for Wolfram Löwe', '64&rsquor;|0:2|Hans-Jürgen Kreische|for Reinhard Lauck']",
West Germany,Sweden,4,2,67800,"Rheinstadion, Dï¿½Sseldorf",Second round,30-06-1974,4–2,Germany,1974,Ralf Edström · 24|Roland Sandberg · 53,"['51&rsquor;|1:1|Wolfgang Overath', '52&rsquor;|2:1|Rainer Bonhof', '76&rsquor;|3:2|Jürgen Grabowski']","['24&rsquor;|0:1|Ralf Edström', '53&rsquor;|2:2|Roland Sandberg']",,,Uli Hoeneß (P) · 89,,,,,,,,,,,,,['1&rsquor;|0:0|Ove Grahn'],"['64&rsquor;|2:2|Jürgen Grabowski|for Dieter Herzog', '83&rsquor;|3:2|Heinz Flohe|for Bernd Hölzenbein']",['32&rsquor;|0:1|Inge Ejderstedt|for Bo Larsson']
Yugoslavia,West Germany,0,2,67385,"Rheinstadion, Dï¿½Sseldorf",Second round,26-06-1974,0–2,Germany,1974,Paul Breitner · 39|Gerd Müller · 82,,"['39&rsquor;|0:1|Paul Breitner', '82&rsquor;|0:2|Gerd Müller']",,,,,,,,,,,,,,,"['36&rsquor;|0:0|Ivan Buljan', '61&rsquor;|0:1|Enver Hadžiabdić']","['16&rsquor;|0:0|Wolfgang Overath', '35&rsquor;|0:0|Berti Vogts']","['84&rsquor;|0:2|Ilija Petković|for Branko Oblak', '84&rsquor;|0:2|Jurica Jerković|for Dragan Džajić']","['73&rsquor;|0:1|Uli Hoeneß|for Herbert Wimmer', '78&rsquor;|0:1|Heinz Flohe|for Bernd Hölzenbein']"
Brazil,Germany DR,1,0,59863,"Niedersachsenstadion, Hanover",Second round,26-06-1974,1–0,Germany,1974,,['60&rsquor;|1:0|Rivellino'],,,,,,,,,,,,,,,,"['27&rsquor;|0:0|Jairzinho', '28&rsquor;|0:0|Paulo César Carpegiani', '75&rsquor;|1:0|Dirceu']","['11&rsquor;|0:0|Erich Hamann', '84&rsquor;|1:0|Joachim Streich']",,"['46&rsquor;|0:0|Harald Irmscher|for Erich Hamann', '64&rsquor;|1:0|Wolfram Löwe|for Reinhard Lauck']"
Sweden,Poland,0,1,44955,"Neckarstadion, Stuttgart",Second round,26-06-1974,0–1,Germany,1974,Grzegorz Lato · 43,,['43&rsquor;|0:1|Grzegorz Lato'],,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Jerzy Gorgoń', '44&rsquor;|0:1|Andrzej Szarmach']","['60&rsquor;|0:1|Jörgen Augustsson|for Björn Andersson', '80&rsquor;|0:1|Thomas Ahlström|for Staffan Tapper']",['60&rsquor;|0:1|Kazimierz Kmiecik|for Andrzej Szarmach']
Netherlands,Argentina,4,0,56548,"Parkstadion, Gelsenkirchen",Second round,26-06-1974,4–0,Germany,1974,,"['10&rsquor;|1:0|Johan Cruyff', '25&rsquor;|2:0|Ruud Krol', '73&rsquor;|3:0|Johnny Rep', '90&rsquor;|4:0|Johan Cruyff']",,,,,,,,,,,,,,,,"['22&rsquor;|1:0|Johan Neeskens', '58&rsquor;|2:0|Wim Suurbier']",['35&rsquor;|2:0|Roberto Perfumo'],['84&rsquor;|3:0|Rinus Israël|for Wim Suurbier'],"['46&rsquor;|2:0|Rubén Glaria|for René Houseman', '46&rsquor;|2:0|Mario Kempes|for Enrique Wolff']"
